state,county,1000+ Corn Growers,1000+ Hogs,1000+ Rice Growers,1000+ Wheat Growers,Corn Acres,Farms with Grain Storage,Rice Acres,Wheat Acres
Georgia,SUMTER,13,0,0,1,0,0,0,0
Georgia,TERRELL,14,0,0,3,0,0,0,0
Georgia,THOMAS,6,0,0,1,0,0,0,0
Georgia,TOOMBS,41,0,0,1,0,0,0,0
Georgia,WALKER,1,0,0,1,0,0,0,0
Georgia,WASHINGTON,1,0,0,1,0,0,0,0
Georgia,WAYNE,2,0,0,1,0,0,0,0
Georgia,WHITE,0,0,0,1,0,0,0,0
Georgia,WORTH,2,0,0,1,0,0,0,0
Hawaii,HONOLULU,5,0,0,3,0,0,0,0
Hawaii,MAUI,2,0,0,3,0,0,0,0
Idaho,ADA,15,1,0,13,0,0,0,0
Idaho,BANNOCK,2,0,0,30,0,0,0,0
Idaho,BEAR LAKE,0,0,0,3,0,0,0,0
Idaho,BENEWAH,0,0,0,14,0,0,0,0
Idaho,BINGHAM,9,0,0,106,0,0,0,0
Idaho,BLAINE,1,0,0,1,0,0,0,0
Idaho,BONNER,0,0,0,3,0,0,0,0
Idaho,BONNEVILLE,8,0,0,35,0,0,0,0
Idaho,BOUNDARY,0,0,0,2,0,0,0,0
Idaho,BUTTE,0,0,0,2,0,0,0,0
Idaho,CAMAS,1,0,0,1,0,0,0,0
Idaho,CANYON,28,0,0,16,0,0,0,0
Idaho,CARIBOU,3,0,0,27,0,0,0,0
Idaho,CASSIA,28,1,0,52,0,0,0,0
Idaho,CLARK,0,0,0,3,0,0,0,0
Idaho,CLEARWATER,0,0,0,4,0,0,0,0
Idaho,CUSTER,1,0,0,2,0,0,0,0
Idaho,ELMORE,13,0,0,11,0,0,0,0
Idaho,FRANKLIN,0,0,0,9,0,0,0,0
Idaho,FREMONT,0,0,0,20,0,0,0,0
Idaho,GOODING,23,0,0,3,0,0,0,0
Idaho,IDAHO,1,0,0,35,0,0,0,0
Idaho,JEFFERSON,3,0,0,33,0,0,0,0
Idaho,JEROME,23,0,0,7,0,0,0,0
Idaho,KOOTENAI,0,0,0,10,0,0,0,0
Idaho,LATAH,4,1,0,54,0,0,0,0
Idaho,LEMHI,0,0,0,1,0,0,0,0
Idaho,LEWIS,1,0,0,36,0,0,0,0
Idaho,LINCOLN,6,0,0,2,0,0,0,0
Idaho,MADISON,3,0,0,29,0,0,0,0
Idaho,MINIDOKA,18,0,0,41,0,0,0,0
Idaho,NEZ PERCE,0,0,0,74,0,0,0,0
Idaho,ONEIDA,1,0,0,7,0,0,0,0
Idaho,OWYHEE,11,0,0,1,0,0,0,0
Idaho,PAYETTE,1,0,0,3,0,0,0,0
Idaho,POWER,8,0,0,79,0,0,0,0
Idaho,TETON,0,0,0,1,0,0,0,0
Idaho,TWIN FALLS,30,0,0,20,0,0,0,0
Idaho,VALLEY,0,0,0,2,0,0,0,0
Illinois,ADAMS,87,26,0,2,0,0,0,0
Illinois,BOND,24,0,0,1,0,0,0,0
Illinois,BOONE,34,3,0,1,0,0,0,0
Illinois,BROWN,15,2,0,0,0,0,0,0
Illinois,BUREAU,90,10,0,1,0,0,0,0
Illinois,CHAMPAIGN,157,5,3,4,0,0,0,0
Illinois,CHRISTIAN,92,7,0,3,0,0,0,0
Illinois,CLAY,25,8,0,3,0,0,0,0
Illinois,CLINTON,45,10,0,5,0,0,0,0
Illinois,COLES,65,7,0,3,0,0,0,0
Illinois,COOK,56,0,0,6,0,0,0,0
Illinois,CRAWFORD,47,1,0,0,0,0,0,0
Illinois,DEKALB,114,0,0,5,0,0,0,0
Illinois,DEWITT,43,0,1,1,0,0,0,0
Illinois,DOUGLAS,71,0,0,3,0,0,0,0
Illinois,DUPAGE,37,0,1,4,0,0,0,0
Illinois,EFFINGHAM,52,19,0,0,0,0,0,0
Illinois,FORD,56,6,0,1,0,0,0,0
Illinois,FRANKLIN,26,5,0,8,0,0,0,0
Illinois,GALLATIN,48,0,0,9,0,0,0,0
Illinois,GREENE,31,4,0,1,0,0,0,0
Illinois,HAMILTON,25,0,0,2,0,0,0,0
Illinois,HANCOCK,85,17,0,1,0,0,0,0
Illinois,HENRY,105,14,0,0,0,0,0,0
Illinois,IROQUOIS,140,10,0,1,0,0,0,0
Illinois,JACKSON,17,0,0,9,0,0,0,0
Illinois,JEFFERSON,17,3,0,3,0,0,0,0
Illinois,JERSEY,34,0,0,1,0,0,0,0
Illinois,JOHNSON,6,0,0,1,0,0,0,0
Illinois,KANE,62,3,0,1,0,0,0,0
Illinois,KANKAKEE,107,1,0,4,0,0,0,0
Illinois,LA SALLE,115,1,0,1,0,0,0,0
Illinois,LAKE,17,0,0,2,0,0,0,0
Illinois,LAWRENCE,35,11,0,2,0,0,0,0
Illinois,LEE,100,7,0,1,0,0,0,0
Illinois,LIVINGSTON,120,26,0,1,0,0,0,0
Illinois,LOGAN,77,12,0,0,0,0,0,0
Illinois,MACON,80,1,0,3,0,0,0,0
Illinois,MACOUPIN,84,9,0,3,0,0,0,0
Illinois,MADISON,57,1,0,6,0,0,0,0
Illinois,MARION,29,0,0,1,0,0,0,0
Illinois,MASSAC,11,0,0,1,0,0,0,0
Illinois,MCDONOUGH,77,9,0,3,0,0,0,0
Illinois,MCHENRY,61,4,0,0,0,0,0,0
Illinois,MCLEAN,174,11,0,1,0,0,0,0
Illinois,MERCER,73,20,0,1,0,0,0,0
Illinois,MONROE,25,2,0,8,0,0,0,0
Illinois,MORGAN,67,4,0,3,0,0,0,0
Illinois,MOULTRIE,41,1,0,1,0,0,0,0
Illinois,OGLE,111,18,0,1,0,0,0,0
Illinois,PEORIA,76,3,0,3,0,0,0,0
Illinois,PERRY,13,0,0,5,0,0,0,0
Illinois,PIATT,66,0,0,2,0,0,0,0
Illinois,POPE,0,0,0,1,0,0,0,0
Illinois,RANDOLPH,30,1,0,10,0,0,0,0
Illinois,RICHLAND,39,8,0,3,0,0,0,0
Illinois,ROCK ISLAND,40,5,0,1,0,0,0,0
Illinois,SAINT CLAIR,52,0,2,3,0,0,0,0
Illinois,SANGAMON,143,4,0,5,0,0,0,0
Illinois,SCHUYLER,16,4,0,1,0,0,0,0
Illinois,SHELBY,60,9,0,2,0,0,0,0
Illinois,STARK,25,3,0,0,0,0,0,0
Illinois,STEPHENSON,82,12,0,0,0,0,0,0
Illinois,TAZEWELL,89,10,0,2,0,0,0,0
Illinois,UNION,9,0,1,1,0,0,0,0
Illinois,VERMILION,109,5,0,2,0,0,0,0
Illinois,WABASH,34,0,0,3,0,0,0,0
Illinois,WASHINGTON,55,12,0,15,0,0,0,0
Illinois,WHITE,62,1,0,9,0,0,0,0
Illinois,WHITESIDE,108,18,0,1,0,0,0,0
Illinois,WILL,89,3,0,3,0,0,0,0
Illinois,WILLIAMSON,6,0,0,0,0,0,0,0
Illinois,WOODFORD,63,16,0,3,0,0,0,0
Indiana,ADAMS,41,25,0,0,0,0,0,0
Indiana,ALLEN,42,7,0,5,0,0,0,0
Indiana,BARTHOLOMEW,40,7,0,1,0,0,0,0
Indiana,BENTON,56,0,0,1,0,0,0,0
Indiana,BOONE,57,3,0,2,0,0,0,0
Indiana,CARROLL,82,35,0,1,0,0,0,0
Indiana,CASS,37,12,0,1,0,0,0,0
Indiana,CLAY,44,0,0,0,0,0,0,0
Indiana,CLINTON,67,17,0,1,0,0,0,0
Indiana,DAVIESS,51,9,0,0,0,0,0,0
Indiana,DECATUR,50,22,0,1,0,0,0,0
Indiana,DEKALB,20,0,0,1,0,0,0,0
Indiana,DELAWARE,40,3,0,1,0,0,0,0
Indiana,DUBOIS,48,9,0,2,0,0,0,0
Indiana,ELKHART,44,22,0,0,0,0,0,0
Indiana,FOUNTAIN,33,2,0,1,0,0,0,0
Indiana,FRANKLIN,20,6,0,1,0,0,0,0
Indiana,GIBSON,52,6,0,5,0,0,0,0
Indiana,HAMILTON,57,0,2,1,0,0,0,0
Indiana,HANCOCK,49,12,0,0,0,0,0,0
Indiana,HENDRICKS,48,4,0,1,0,0,0,0
Indiana,HOWARD,41,3,0,1,0,0,0,0
Indiana,HUNTINGTON,29,8,0,2,0,0,0,0
Indiana,JACKSON,34,9,0,2,0,0,0,0
Indiana,JASPER,96,17,0,3,0,0,0,0
Indiana,JEFFERSON,9,0,0,1,0,0,0,0
Indiana,JOHNSON,35,0,0,1,0,0,0,0
Indiana,KNOX,105,7,0,5,0,0,0,0
Indiana,KOSCIUSKO,62,17,0,2,0,0,0,0
Indiana,LAGRANGE,30,19,0,0,0,0,0,0
Indiana,MADISON,62,0,0,1,0,0,0,0
Indiana,MARION,25,0,0,2,0,0,0,0
Indiana,MARSHALL,53,4,0,1,0,0,0,0
Indiana,MARTIN,7,6,0,0,0,0,0,0
Indiana,MORGAN,37,2,0,3,0,0,0,0
Indiana,ORANGE,13,1,0,1,0,0,0,0
Indiana,PORTER,37,0,0,2,0,0,0,0
Indiana,POSEY,62,3,1,8,0,0,0,0
Indiana,PULASKI,83,7,0,3,0,0,0,0
Indiana,PUTNAM,36,6,0,3,0,0,0,0
Indiana,RANDOLPH,43,26,0,1,0,0,0,0
Indiana,RUSH,55,14,0,3,0,0,0,0
Indiana,SHELBY,55,2,0,1,0,0,0,0
Indiana,SPENCER,26,4,0,0,0,0,0,0
Indiana,ST JOSEPH,57,0,0,4,0,0,0,0
Indiana,STEUBEN,24,2,0,1,0,0,0,0
Indiana,SULLIVAN,50,0,0,3,0,0,0,0
Indiana,VANDERBURGH,45,0,0,5,0,0,0,0
Indiana,VIGO,33,0,0,0,0,0,0,0
Indiana,WABASH,50,24,0,0,0,0,0,0
Indiana,WARREN,35,1,0,1,0,0,0,0
Indiana,WAYNE,32,3,0,1,0,0,0,0
Indiana,WELLS,47,24,0,2,0,0,0,0
Indiana,WHITE,91,27,0,1,0,0,0,0
Indiana,WHITLEY,36,19,0,0,0,0,0,0
Iowa,ALLAMAKEE,42,18,0,0,0,0,0,0
Iowa,APPANOOSE,12,0,0,1,0,0,0,0
Iowa,BENTON,73,15,0,0,0,0,0,0
Iowa,BLACK HAWK,75,46,0,2,0,0,0,0
Iowa,BOONE,79,17,1,0,0,0,0,0
Iowa,BUCHANAN,79,55,0,1,0,0,0,0
Iowa,BUENA VISTA,55,75,0,0,0,0,0,0
Iowa,BUTLER,47,39,0,0,0,0,0,0
Iowa,CALHOUN,51,44,0,0,0,0,0,0
Iowa,CARROLL,80,74,0,0,0,0,0,0
Iowa,CASS,58,7,0,0,0,0,0,0
Iowa,CEDAR,57,40,0,0,0,0,0,0
Iowa,CERRO GORDO,92,18,0,3,0,0,0,0
Iowa,CHEROKEE,55,47,0,0,0,0,0,0
Iowa,CHICKASAW,58,33,0,0,0,0,0,0
Iowa,CLARKE,15,3,0,0,0,0,0,0
Iowa,CLAY,53,33,0,3,0,0,0,0
Iowa,CLAYTON,64,35,0,2,0,0,0,0
Iowa,CLINTON,83,29,0,0,0,0,0,0
Iowa,CRAWFORD,78,48,0,2,0,0,0,0
Iowa,DALLAS,85,5,0,1,0,0,0,0
Iowa,DAVIS,12,8,0,0,0,0,0,0
Iowa,DES MOINES,26,13,0,2,0,0,0,0
Iowa,DICKINSON,35,13,0,2,0,0,0,0
Iowa,DUBUQUE,48,31,0,1,0,0,0,0
Iowa,FAYETTE,67,29,0,0,0,0,0,0
Iowa,FLOYD,51,30,0,0,0,0,0,0
Iowa,FRANKLIN,59,66,0,1,0,0,0,0
Iowa,GREENE,84,36,0,2,0,0,0,0
Iowa,GRUNDY,71,34,0,1,0,0,0,0
Iowa,GUTHRIE,66,27,0,2,0,0,0,0
Iowa,HAMILTON,83,60,0,1,0,0,0,0
Iowa,HARDIN,79,72,0,0,0,0,0,0
Iowa,HARRISON,74,5,0,0,0,0,0,0
Iowa,HOWARD,54,34,0,0,0,0,0,0
Iowa,JOHNSON,60,38,0,3,0,0,0,0
Iowa,JONES,63,19,0,0,0,0,0,0
Iowa,KOSSUTH,119,97,0,0,0,0,0,0
Iowa,LEE,35,16,0,1,0,0,0,0
Iowa,LINN,107,13,0,1,0,0,0,0
Iowa,LOUISA,25,36,0,1,0,0,0,0
Iowa,LYON,70,207,0,0,0,0,0,0
Iowa,MADISON,29,8,0,1,0,0,0,0
Iowa,MAHASKA,57,56,0,0,0,0,0,0
Iowa,MARION,43,6,0,1,0,0,0,0
Iowa,MILLS,36,0,0,1,0,0,0,0
Iowa,MITCHELL,54,34,0,1,0,0,0,0
Iowa,MONONA,70,3,0,1,0,0,0,0
Iowa,MONTGOMERY,36,5,0,1,0,0,0,0
Iowa,MUSCATINE,38,24,0,0,0,0,0,0
Iowa,OBRIEN,68,0,0,1,0,0,0,0
Iowa,OSCEOLA,41,81,0,0,0,0,0,0
Iowa,PLYMOUTH,91,153,0,3,0,0,0,0
Iowa,POCAHONTAS,50,22,0,0,0,0,0,0
Iowa,POLK,140,1,0,4,0,0,0,0
Iowa,POTTAWATTAMIE,126,19,0,1,0,0,0,0
Iowa,SAC,75,45,0,1,0,0,0,0
Iowa,SCOTT,67,10,0,0,0,0,0,0
Iowa,SHELBY,51,23,0,1,0,0,0,0
Iowa,SIOUX,122,286,0,4,0,0,0,0
Iowa,STORY,97,21,0,4,0,0,0,0
Iowa,TAMA,66,31,0,2,0,0,0,0
Iowa,TAYLOR,37,5,0,0,0,0,0,0
Iowa,UNION,23,6,0,0,0,0,0,0
Iowa,WAPELLO,25,12,0,1,0,0,0,0
Iowa,WARREN,38,1,1,1,0,0,0,0
Iowa,WASHINGTON,63,142,0,2,0,0,0,0
Iowa,WAYNE,27,2,0,2,0,0,0,0
Iowa,WOODBURY,106,6,3,5,0,0,0,0
Iowa,WRIGHT,67,21,0,1,0,0,0,0
Kansas,ALLEN,13,0,0,5,0,0,0,0
Kansas,ANDERSON,18,0,0,0,0,0,0,0
