Grain Elevators,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,
AG Opportunities Inc,611 W Broadway St,Vermillion,South Dakota,57069,42.7771863,-96.9420129,,,,,,,,,,,,
Cummings Ag,201 Front St,Cummings,North Dakota,58223,47.5144797,-97.080167,,,,,,,,,,,,
Saxman - Central Prairie Co-op,2015 Ave R,Sterling,Kansas,67579,38.2811292,-98.1260801,,,,,,,,,,,,
Viterra,6526 Co Rd O,Shullsburg,Wisconsin,53586,42.5904312,-90.2404251,,,,,,,,,,,,
Musgrove Grain,13058 S State Rd,Lake Odessa,Michigan,48849,42.7988775,-85.0776641,,,,,,,,,,,,
CFS St James Downtown,99-1 8th St S,St James,Minnesota,56081,43.983487,-94.6261395,,,,,,,,,,,,
ADM Memphis,1795 Dock St,Memphis,Tennessee,38113,35.0965074,-90.1070023,,,,,,,,,,,,
Moore Elevator Inc,423 E Lake Dr,Hamlin,Texas,79520,32.8855831,-100.1215398,,,,,,,,,,,,
Kelley Bean Co Inc,335 W Valley Rd,Torrington,Wyoming,82240,42.0638833,-104.1876856,,,,,,,,,,,,
Tri-Cities Grain LLC,600 Tank Farm Rd,Pasco,Washington,99301,46.2194683,-119.0245237,,,,,,,,,,,,
"ALCIVIA - Ellsworth Agronomy, Grain, and Energy",W6311 US-63,Ellsworth,Wisconsin,54011,44.7315085,-92.4472975,,,,,,,,,,,,
Azteca Milling LP,1972 Co Rd 1068,Muleshoe,Texas,79347,34.2120246,-102.6976165,,,,,,,,,,,,
"Bartlett Grain Company, L.P.",3126 274th Ave,Hamburg,Iowa,51640,40.5971861,-95.6666805,,,,,,,,,,,,
Vance Cupp & Sons Inc,16871 US-412,Walnut Ridge,Arkansas,72476,36.069458,-90.7473297,,,,,,,,,,,,
Viterra,6979 IL-78,Warren,Illinois,61087,42.4724769,-89.9741516,,,,,,,,,,,,
The Andersons,313 S Ann St,Reading,Michigan,49274,41.8364941,-84.7432806,,,,,,,,,,,,
"Absolute Energy, LLC",1372 State Line St,St Ansgar,Iowa,50472,43.4974386,-92.953501,,,,,,,,,,,,
Perdue AgriBusiness - Lumberton Grain Elevator,1801 Godwin Ave,Lumberton,North Carolina,28358,34.6297731,-78.9992088,,,,,,,,,,,,
Dwain R Anderson & Sons Inc,,Oakland,Nebraska,68045,41.8357057,-96.4666634,,,,,,,,,,,,
Star of the West Milling Co.,4075 N Cemetery Rd,Cass City,Michigan,48726,43.5895842,-83.1757487,,,,,,,,,,,,
Frontier Ag,300 U.S. Hwy 40,Oakley,Kansas,67748,39.562329,-86.9028631,,,,,,,,,,,,
Frontier Ag,300 U.S. Hwy 40,Oakley,Kansas,67748,39.562329,-86.9028631,,,,,,,,,,,,
Frontier AG Inc.,1195 Albert St,Oakley,Kansas,67748,39.124528,-100.8670442,,,,,,,,,,,,
Frontier AG Inc.,1195 Albert St,Oakley,Kansas,67748,39.124528,-100.8670442,,,,,,,,,,,,
Two Rivers Cooperative,1004 265th St,Tracy,Iowa,50256,41.2697198,-92.8684773,,,,,,,,,,,,
Reist Popcorn Transload Facility,900 Square St,Mount Joy,Pennsylvania,17552,40.1137007,-76.5247075,,,,,,,,,,,,
Co-Op Association,206 Wayne St,Scott City,Kansas,67871,38.4852449,-100.8965303,,,,,,,,,,,,
Welch Grain Co,115 E 2nd St,Dalhart,Texas,79022,36.064452,-102.5224643,,,,,,,,,,,,
Columbia Grain - Carrington,90 70th Ave NE,Carrington,North Dakota,58421,47.4272106,-99.0531387,,,,,,,,,,,,
Perdue AgriBusiness - Plymouth Grain Office,77 US-64,Plymouth,North Carolina,27962,35.8594301,-76.7443158,,,,,,,,,,,,
Arizona Grain Inc,38501 Cowtown Rd,Maricopa,Arizona,85138,33.0140433,-111.9808378,,,,,,,,,,,,
Frenchman Valley Co-Op,3980 W Main St,Kimball,Nebraska,69145,41.2408963,-103.6631776,,,,,,,,,,,,
Riverland Ag Shakopee River Terminal,3251 County Rd 101,Shakopee,Minnesota,55379,44.8022898,-93.4750545,,,,,,,,,,,,
The Arthur Companies - Rockford,1198 ID-39,Blackfoot,Idaho,83221,43.1909373,-112.5349273,,,,,,,,,,,,
Star of the West Milling Co.,421 N Cochran Ave,Charlotte,Michigan,48813,42.569606,-84.8367647,,,,,,,,,,,,
Star of the West Milling Co.,415 N Nelson St,Potterville,Michigan,48876,42.6215222,-84.7434764,,,,,,,,,,,,
Demeter Lp,98 S 100 E,Fowler,Indiana,47944,40.6052161,-87.3049914,,,,,,,,,,,,
Gavilon Grain LLC,1 Pillsbury Rd,McLeansboro,Illinois,62859,38.1018505,-88.5462363,,,,,,,,,,,,
"The DeLong Co., Inc.",2916 NY-14,Geneva,New York,14456,42.89468,-76.9802246,,,,,,,,,,,,
Dakota Dry Bean Inc,215 Main St,Crary,North Dakota,58327,48.0706821,-98.6403713,,,,,,,,,,,,
Farmers Milling Co,406 6th St,Graham,Texas,76450,33.1109575,-98.5924955,,,,,,,,,,,,
Farmers Milling Co,406 6th St,Graham,Texas,76450,33.1109575,-98.5924955,,,,,,,,,,,,
Consolidated Grain and Barge Co.,441 S N Front St,Oquawka,Illinois,61469,40.9309421,-90.9576552,,,,,,,,,,,,
RCM CO-OP,220 N Niagara St,Ashland,Illinois,62612,39.890177,-90.0053522,,,,,,,,,,,,
AG Processing Inc.,1000 300th St,Manning,Iowa,51455,41.9201213,-95.0702825,,,,,,,,,,,,
Busch Agricultural Resources,2101 26th St S,Moorhead,Minnesota,56560,46.8536415,-96.7389221,,,,,,,,,,,,
Nebraska AG Products Corporation,881 US-275,Wisner,Nebraska,68791,41.978333,-96.9025053,,,,,,,,,,,,
Wisner Farmers Elevator LLC,1015 Railroad Ave E,Wisner,Nebraska,68791,41.987127,-96.9153666,,,,,,,,,,,,
Canby Farmers Grain Dawson,511 Walnut St,Dawson,Minnesota,56232,44.9306349,-96.0538289,,,,,,,,,,,,
West Plains LLC,8714 CO-60,Johnstown,Colorado,80534,40.3330317,-104.8927068,,,,,,,,,,,,
J&R Grain Solutions,12102 Co Hwy UU,Unionville,Missouri,63565,40.5574651,-93.0193444,,,,,,,,,,,,
Equity Exchange,13101 TX-15,Perryton,Texas,79070,36.4371518,-100.7275344,,,,,,,,,,,,
Farmers Co-Op Elevator,1840 Farm to Market Rd 54,Littlefield,Texas,79339,33.9166344,-102.3125258,,,,,,,,,,,,
Northern Farmers Co-Op Exchange,275 MN-11,Williams,Minnesota,56686,48.7666091,-94.9515228,,,,,,,,,,,,
ADM Collingwood Grain,KS-25,Leoti,Kansas,67861,38.4861276,-101.3576394,,,,,,,,,,,,
Agwrx Cooperative,811 Burlington Northern Dr,Watertown,South Dakota,57201,44.8920974,-97.1293334,,,,,,,,,,,,
Lucerne Feed & Grain LLC,1429 W Frushour St,Lucerne,Indiana,46950,40.8662105,-86.4027604,,,,,,,,,,,,
21st Century Co-Op,601 SW 2nd St,Greenfield,Iowa,50849,41.2967301,-94.4626832,,,,,,,,,,,,
United Western Co-Op,104 Ely St,Woodbine,Iowa,51579,41.7331076,-95.7044722,,,,,,,,,,,,
Irsik & Doll Garden City Elevator,1807 W Kansas Ave,Garden City,Kansas,67846,37.9750366,-100.8908615,,,,,,,,,,,,
Kentland Elevator & Supply Inc,15920 S 150 W,Kentland,Indiana,47951,40.7657739,-87.4211248,,,,,,,,,,,,
Heartland Co-Op,505 E Girard Ave,Indianola,Iowa,50125,41.3671493,-93.5550689,,,,,,,,,,,,
Heartland Co-Op,505 E Girard Ave,Indianola,Iowa,50125,41.3671493,-93.5550689,,,,,,,,,,,,
River Valley Co-Op,111 W Davenport St,Eldridge,Iowa,52748,41.6562246,-90.5838799,,,,,,,,,,,,
ADM Grand Ledge,16994 Wright Rd,Grand Ledge,Michigan,48837,42.7703748,-84.739729,,,,,,,,,,,,
Ottawa Feed & Grain,206 S Oak St,Ottawa,Ohio,45875,41.017953,-84.047357,,,,,,,,,,,,
Heritage Cooperative,252 N Franklin St,Richwood,Ohio,43344,40.4313634,-83.2961008,,,,,,,,,,,,
Kerens Grain Elevator,935 NW 2nd St,Kerens,Texas,75144,32.1313493,-96.2364091,,,,,,,,,,,,
D P Terminal Inc,2715 12th Ave N,Fargo,North Dakota,58102,46.8909267,-96.8243702,,,,,,,,,,,,
AG Specialists,1407 Whitewater Ave,St Charles,Minnesota,55972,43.964487,-92.064494,,,,,,,,,,,,
New Vision Co-Op,125 16th St,Windom,Minnesota,56101,43.8715188,-95.1122297,,,,,,,,,,,,
Caledonia Farmers Elevator Co,146 E Main St SE,Caledonia,Michigan,49316,42.7890003,-85.5149187,,,,,,,,,,,,
AGP IA.,"601-, 699 Eagle Ave",Eagle Grove,Iowa,50533,42.6686266,-93.9036068,,,,,,,,,,,,
AGrowStar - Sylvania,129 Ennis St,Sylvania,Georgia,30467,32.751775,-81.639534,,,,,,,,,,,,
Ray Carroll Carrollton,26274 US-24,Carrollton,Missouri,64633,39.3662539,-93.4527928,,,,,,,,,,,,
Heartland Feed Services - St. Henry,281 W Main St,St Henry,Ohio,45883,40.4186826,-84.6432081,,,,,,,,,,,,
Gateway FS Inc,221 E Pine St,Red Bud,Illinois,62278,38.2142274,-89.9928595,,,,,,,,,,,,
Louis Dreyfus Company GRAND JUNCTION,1149 U Ave,Grand Junction,Iowa,50107,42.055848,-94.2423572,,,,,,,,,,,,
Northwest Grain Growers,850 N 4th Ave,Walla Walla,Washington,99362,46.0741867,-118.3454631,,,,,,,,,,,,
Dakota AG Marketing,2404 E 6th St,Sioux Falls,South Dakota,57103,43.5515742,-96.6958982,,,,,,,,,,,,
Star of the West Milling Co.,415 MN-32,St Hilaire,Minnesota,56754,48.0074727,-96.2165468,,,,,,,,,,,,
ADM Farina,500 N Oak St,Farina,Illinois,62838,38.8355618,-88.7679792,,,,,,,,,,,,
Lisbon Elevator,1227 Main St,Lisbon,North Dakota,58054,46.4339741,-97.6822318,,,,,,,,,,,,
England Marketing Services,1435 US-165,England,Arkansas,72046,34.554197,-91.975891,,,,,,,,,,,,
Alsen Farmers Elevator,101 ND-66,Alsen,North Dakota,58311,48.6314917,-98.7035664,,,,,,,,,,,,
Cargill Inc,13853 IL-89,Granville,Illinois,61326,41.3107287,-89.2005182,,,,,,,,,,,,
Geneva Milling Co Inc,210 S 7th St,Geneva,Nebraska,68361,40.5240467,-97.6066988,,,,,,,,,,,,
Apex grain marketing LLC,11859 Krouse Rd,Defiance,Ohio,43512,41.2699416,-84.4360608,,,,,,,,,,,,
"Western Grain Marketing, LLC",13955 High St,Petersburg,Illinois,62675,40.0593629,-89.9232487,,,,,,,,,,,,
Total Grain Marketing,360 N Co Rd 425E,Arthur,Illinois,61911,39.7041368,-88.3906239,,,,,,,,,,,,
Muennink Grain Merchandising,10375 Farm to Market Rd 471,Lacoste,Texas,78039,29.318247,-98.8151336,,,,,,,,,,,,
Miller Grain,103 S Broadway,Miller,South Dakota,57362,44.5147371,-98.9889839,,,,,,,,,,,,
Miller Grain & Performance Sd,213 E 1st Ave,Miller,South Dakota,57362,44.5172378,-98.9871668,,,,,,,,,,,,
"Western Grain Marketing, LLC",311 N Hebard St,Knoxville,Illinois,61448,40.911192,-90.2812692,,,,,,,,,,,,
Concordia Terminal LLC,1111 W 4th St,Concordia,Kansas,66901,39.5742378,-97.6776885,,,,,,,,,,,,
Crossroads Cooperative Association,1940 22nd Ave,Mitchell,Nebraska,69357,41.9490154,-103.8152255,,,,,,,,,,,,
"West Plains, LLC",1940 22nd Ave,Mitchell,Nebraska,69357,41.9476288,-103.8212947,,,,,,,,,,,,
"McGeary Organics, Inc.",3004 Hempland Rd Ste 4,Lancaster,Pennsylvania,17601,40.0508794,-76.3974244,,,,,,,,,,,,
Woodall Grain Company,1805 Penile Hill Rd,Decherd,Tennessee,37324,35.2666391,-86.0428861,,,,,,,,,,,,
Coastal Warehouse Ltd,602 N Sunset St,Wharton,Texas,77488,29.317056,-96.102877,,,,,,,,,,,,
Midland Marketing Co-Op Inc,1505 Oak St,La Crosse,Kansas,67548,38.5379791,-99.3139801,,,,,,,,,,,,
Valley Center Farmers Co-Op,101 S Ash Ave,Valley Center,Kansas,67147,37.8320317,-97.3747584,,,,,,,,,,,,
Shepherd Elevator,414 W Wright Ave,Shepherd,Michigan,48883,43.5245682,-84.6980546,,,,,,,,,,,,
AGP Grain Marketing LLC,Oklhm Ln,Farwell,Texas,79325,34.3856302,-102.8868868,,,,,,,,,,,,
Bartlett,4208 County Rd 5300,Cherryvale,Kansas,67335,37.2116619,-95.5741375,,,,,,,,,,,,
Wheaton Dumont Co-Op Elevator,US-75,Wheaton,Minnesota,56296,45.8153015,-96.4912546,,,,,,,,,,,,
The Arthur Companies - Arthur Elevator,429 Main St,Arthur,North Dakota,58006,47.102758,-97.218628,,,,,,,,,,,,
The Arthur Companies - Ayr Terminal,11 Main Ave,Ayr,North Dakota,58007,47.0427811,-97.4917571,,,,,,,,,,,,
Two Rivers Cooperative,201 Mills St,Monroe,Iowa,50170,41.5192221,-93.1022444,,,,,,,,,,,,
CHS Agri Services,603 10th St,Alma,Nebraska,68920,40.107446,-99.3625018,,,,,,,,,,,,
"Western Grain Marketing, LLC",20259 Gridley Rd,Virginia,Illinois,62691,39.9529436,-90.1998843,,,,,,,,,,,,
Centerra Co-op,951 Mechanic St,Grafton,Ohio,44044,41.2700226,-82.0558344,,,,,,,,,,,,
Andrews Grain LLC,1214 Beaver Valley Pike,Willow Street,Pennsylvania,17584,39.9628429,-76.2450856,,,,,,,,,,,,
High Line Grain Elevators,,Spokane,Washington,99224,47.5719688,-117.6015524,,,,,,,,,,,,
Bartlett,408 Washington St,Hamburg,Iowa,51640,40.5969576,-95.6573349,,,,,,,,,,,,
Frederick Farmers Elevator,502 5th St,Frederick,South Dakota,57441,45.834622,-98.5088032,,,,,,,,,,,,
Curry Grain Storage,21357 US-30,Filer,Idaho,83328,42.5639614,-114.5470164,,,,,,,,,,,,
Cargill Inc,46750 70th Rd,Gibbon,Nebraska,68840,40.7428869,-98.8599208,,,,,,,,,,,,
Cargill Inc,101 S Water St,Lacon,Illinois,61540,41.0271829,-89.4128214,,,,,,,,,,,,
Northwest Investments LLC,52496 S CR 271,Ames,Oklahoma,73718,36.2533787,-98.1747876,,,,,,,,,,,,
Cargill AgHorizons,"Highway 11 E,",Ord,Nebraska,68862,41.5936419,-98.9072587,,,,,,,,,,,,
Valley Farmers Co-Op,1414 Ringgold Ave,Coushatta,Louisiana,71019,32.0251869,-93.340265,,,,,,,,,,,,
Baggett's Grain Inc,1005 5th Ave E,Springfield,Tennessee,37172,36.507946,-86.8674501,,,,,,,,,,,,
Cargill Reserve Grain Terminal,2154 LA-44,Reserve,Louisiana,70084,30.0553408,-90.584854,,,,,,,,,,,,
Cargill Reserve Grain Terminal,2154 LA-44,Reserve,Louisiana,70084,30.0553408,-90.584854,,,,,,,,,,,,
Nash Grain & Trading Co,211 Nash Pl,Nash,North Dakota,58237,48.4730936,-97.518611,,,,,,,,,,,,
Total Grain Marketing,205 S Maple St,Newton,Illinois,62448,38.9896282,-88.1679862,,,,,,,,,,,,
Total Grain Marketing,403 S Central Ave,Casey,Illinois,62420,39.2953264,-87.9931481,,,,,,,,,,,,
Mid-State Milling,408 3rd St NW,State Center,Iowa,50247,42.0180212,-93.1689009,,,,,,,,,,,,
Poinsett Rice & Grain Inc.,300 Adamson Rd,Marked Tree,Arkansas,72365,35.5359268,-90.4307937,,,,,,,,,,,,
Minco Elevator & Supply,22 NE Railroad St,Minco,Oklahoma,73059,35.3140962,-97.94025,,,,,,,,,,,,
Dell Rapids Co-Op Grain Co,211 Ladelle Ave,Dell Rapids,South Dakota,57022,43.8222274,-96.712181,,,,,,,,,,,,
Wedekemper's Inc,13405 Ferrin Rd,Carlyle,Illinois,62231,38.6164016,-89.2339172,,,,,,,,,,,,
Mc Cune Farmers Co-Op Association,"8th St & Main St, 708 Main St",McCune,Kansas,66753,37.3512306,-95.0188827,,,,,,,,,,,,
Heartland Cooperative,215 E Lane St,Winterset,Iowa,50273,41.3412166,-94.0111923,,,,,,,,,,,,
Heartland Cooperative,215 E Lane St,Winterset,Iowa,50273,41.3412166,-94.0111923,,,,,,,,,,,,
Skyland Grain LLC,5 1/2 Main St,Syracuse,Kansas,67878,37.9786415,-101.7525558,,,,,,,,,,,,
Weston Burley House Inc,357 Main St,Weston,Missouri,64098,39.4102669,-94.9027634,,,,,,,,,,,,
Clarkson Grain Mattoon Plant,2808 Thomasina Drive,Mattoon,Illinois,61938,39.4813763,-88.3033759,,,,,,,,,,,,
"Custom Agri Systems, Inc.",105 S 1st St,Hiawatha,Kansas,66434,39.8525748,-95.5263562,,,,,,,,,,,,
Snow Hill Grain Inc,313 Timmons St,Snow Hill,Maryland,21863,38.1795627,-75.3859675,,,,,,,,,,,,
Cheney Co-Op Elevator Associates,101 S Adams St,Cheney,Kansas,67025,37.6259304,-97.7853365,,,,,,,,,,,,
Falmouth Co-Op Co,260 E Prosper Rd,Falmouth,Michigan,49632,44.243591,-85.088731,,,,,,,,,,,,
Penn Acres,6830 Clinton Macon Rd,Clinton,Michigan,49236,42.06756,-83.891402,,,,,,,,,,,,
Growmark Inc /seneca,500 E Shipyard Rd,Seneca,Illinois,61360,41.3089697,-88.5960843,,,,,,,,,,,,
CHS Illinois - Seneca,455 S Main St,Seneca,Illinois,61360,41.3007279,-88.6127605,,,,,,,,,,,,
Hartung Feed & Grain,23 N Mitchell St,Preston,Iowa,52069,42.0504775,-90.3979504,,,,,,,,,,,,
Farmers Cooperative-Conway Spr,125 S Lincoln St,Belle Plaine,Kansas,67013,37.388318,-97.2784661,,,,,,,,,,,,
Washington Elevator,7030 West Rd,Washington,Michigan,48094,42.7241844,-83.0447594,,,,,,,,,,,,
Winchester Ag Service a Division of Wheaton Grain,1350 Tri-County Rd,Winchester,Ohio,45697,38.9433273,-83.6563095,,,,,,,,,,,,
AG Depot,24 N Wallace Ave,Bozeman,Montana,59715,45.6802608,-111.0281417,,,,,,,,,,,,
Smithfield Grain (Hobbsville),4033 Virginia Rd,Hobbsville,North Carolina,27946,36.3104604,-76.624802,,,,,,,,,,,,
Agtegra Cooperative Oakes,600 D 7th St S,Oakes,North Dakota,58474,46.132177,-98.0822966,,,,,,,,,,,,
James Valley Grain Llc,600 7th St S,Oakes,North Dakota,58474,46.1322174,-98.0821685,,,,,,,,,,,,
Schmitz Grain,1823 US-59,Slayton,Minnesota,56172,43.9941717,-95.7502897,,,,,,,,,,,,
"Ag Partners Cooperative, Inc. - St. Marys, Kansas",717 W Bertrand Ave,St Marys,Kansas,66536,39.1950645,-96.0732574,,,,,,,,,,,,
Cooperative Grain & Supply,320 Third,Marion,Kansas,66861,38.3453472,-97.0198573,,,,,,,,,,,,
Fleming Feed & Grain,9068 72nd Rd,Winfield,Kansas,67156,37.3762746,-97.0057738,,,,,,,,,,,,
Sinclair Elevator Inc,32746 Sinclair Ave,Parkersburg,Iowa,50665,42.5736063,-92.7297804,,,,,,,,,,,,
Cripe Grain Co,1118 U.S. Hwy 40,Vandalia,Illinois,62471,38.9643525,-89.0438215,,,,,,,,,,,,
M & R Grains,1106 Newcomer Rd,Mount Joy,Pennsylvania,17552,40.0980644,-76.4578247,,,,,,,,,,,,
Southern Rice & Cotton LLC,408 Cole St,Harrisburg,Arkansas,72432,35.5682161,-90.7223028,,,,,,,,,,,,
Farmers Elevator Co,247 Main St,Goodwell,Oklahoma,73939,36.5917038,-101.63033,,,,,,,,,,,,
Co-Op Grain & Supply,121 Santa Fe St,Hillsboro,Kansas,67063,38.361014,-97.1842878,,,,,,,,,,,,
Barton Brothers Grain Co,748 Lisle Rd,Georgetown,Kentucky,40324,38.1715004,-84.5314271,,,,,,,,,,,,
Kanza Cooperative Association- Colwich Branch,143 N Colorado Ave,Colwich,Kansas,67030,37.784109,-97.540117,,,,,,,,,,,,
Total Grain Marketing,397 N Locust,Neoga,Illinois,62447,39.3159135,-88.4523926,,,,,,,,,,,,
Mid-Iowa Cooperative Conrad,201 S Main St,Conrad,Iowa,50621,42.2233859,-92.8748849,,,,,,,,,,,,
Western Consolidated Co-op Appleton,,Appleton,Minnesota,56208,45.1933993,-96.0176012,,,,,,,,,,,,
Perdue AgriBusiness - Hurlock Feed Mill and Grain Elevator,37 Delaware Ave,Hurlock,Maryland,21643,38.626225,-75.8722563,,,,,,,,,,,,
Morales Graphic Printing Sublimation,231 Quacco Rd,Savannah,Georgia,31419,32.0179175,-81.2423964,,,,,,,,,,,,
Tony's Seed & Feed Inc,1211 N Dixon St,Gainesville,Texas,76240,33.6367689,-97.145494,,,,,,,,,,,,
Farmers Grain Company,16101 23rd Rd,Winfield,Kansas,67156,37.2579307,-97.1093673,,,,,,,,,,,,
Ruff Brothers Grain - Budd Station,32586 N 1600 E Rd,Blackstone,Illinois,61313,41.0993,-88.6204303,,,,,,,,,,,,
Adm,304 Grand Ave,Plains,Kansas,67869,37.2592496,-100.589451,,,,,,,,,,,,
Atmore Truckers Association,210 W Ridgeley St,Atmore,Alabama,36502,31.0258779,-87.4960838,,,,,,,,,,,,
Rogers Brothers Grn Storage Facility,35291 183rd St,Miller,South Dakota,57362,44.7360369,-99.1317468,,,,,,,,,,,,
ADM Center,200 W Lamb St,Center,Missouri,63436,39.5081132,-91.5305423,,,,,,,,,,,,
Heartland Co-op,1120 1st Ave N,Slater,Iowa,50244,41.8835115,-93.6931534,,,,,,,,,,,,
Granger Farm Products,206 N Walton,Granger,Texas,76530,30.7193575,-97.443345,,,,,,,,,,,,
Farmer's Co-Op,705 S Cherry St,Shell Rock,Iowa,50670,42.7065363,-92.5876539,,,,,,,,,,,,
Mo Valley Grain Inc,122 S 1st St,Missouri Valley,Iowa,51555,41.5540501,-95.896238,,,,,,,,,,,,
Big Dog Wholesale Distribution,255 Rochester St # B2,Salamanca,New York,14779,42.159564,-78.704137,,,,,,,,,,,,
ALCIVIA - Elmwood Grain,404 Omaha Ave,Elmwood,Wisconsin,54740,44.7804713,-92.1516889,,,,,,,,,,,,
Central Valley Bean Co-Op,401 Broadway,Buxton,North Dakota,58218,47.6021087,-97.0978368,,,,,,,,,,,,
O'Brien Seed Inc,42 1st Ave NE,Mayville,North Dakota,58257,47.5024763,-97.3261774,,,,,,,,,,,,
"Riverside Feeds, L.L.C.",300 Forest St,Riceville,Iowa,50466,43.3615447,-92.5601019,,,,,,,,,,,,
Central Missouri Agri Services Llc,305 Industrial Blvd,Slater,Missouri,65349,39.2172584,-93.0607147,,,,,,,,,,,,
Ridgeville Elevator,108 S Fayette St,Fayette,Ohio,43521,41.6728352,-84.3276777,,,,,,,,,,,,
"Ag Partners Cooperative - Seneca, KS",223 E Main St,Seneca,Kansas,66538,39.8349806,-96.0539597,,,,,,,,,,,,
AG Partners Co-Op,721 St Clair St W,Cannon Falls,Minnesota,55009,44.5178912,-92.9118507,,,,,,,,,,,,
Walsh Grain Farms,12 WI-16,Mauston,Wisconsin,53948,43.7972143,-90.0774463,,,,,,,,,,,,
"Cargill, Inc.",814 W Main St,Beardstown,Illinois,62618,40.0153953,-90.4417379,,,,,,,,,,,,
Bunge Delphos,301 S Cass St,Delphos,Ohio,45833,40.8407498,-84.345238,,,,,,,,,,,,
Grain Inspection Inc,124 Lhotka Ave West,Appleton,Minnesota,56208,45.2089069,-96.019918,,,,,,,,,,,,
Viterra,800 N Villa Louis Rd,Prairie du Chien,Wisconsin,53821,43.0642756,-91.1579291,,,,,,,,,,,,
Murphy Grain Llc,43315 MO-25,Malden,Missouri,63863,36.6195583,-89.9697562,,,,,,,,,,,,
Malt Europ North America Inc,500 W 3rd St,Winona,Minnesota,55987,44.056736,-91.650557,,,,,,,,,,,,
Frontier Ag,116 Misner Ave,Colby,Kansas,67701,39.2779908,-100.9612094,,,,,,,,,,,,
Perdue AgriBusiness - Elizabeth City Grain Elevator,1268 US-17,Elizabeth City,North Carolina,27909,36.2734814,-76.2915053,,,,,,,,,,,,
Andersons Albion Ethanol LLC,26250 B Dr N,Albion,Michigan,49224,42.2563004,-84.7882905,,,,,,,,,,,,
