State,County,1000+ Rice Growers
North Carolina,WAKE,1
North Dakota,GOLDEN VALLEY,1
North Dakota,GRAND FORKS,1
Ohio,FRANKLIN,1
Oklahoma,MCCURTAIN,1
Oklahoma,TEXAS,1
Oklahoma,TULSA,1
Oregon,JACKSON,1
South Dakota,HANSON,1
Tennessee,BLOUNT,1
Tennessee,DAVIDSON,2
Tennessee,DYER,4
Tennessee,FAYETTE,1
Tennessee,KNOX,1
Tennessee,SHELBY,22
Tennessee,SULLIVAN,1
Tennessee,WILLIAMSON,2
Texas,AUSTIN,1
Texas,BEXAR,2
Texas,BOWIE,1
Texas,BRAZORIA,9
Texas,BRAZOS,1
Texas,CHAMBERS,6
Texas,COLORADO,11
Texas,CORYELL,1
Texas,DALLAS,3
Texas,DENTON,1
Texas,EASTLAND,1
Texas,ELLIS,1
Texas,FORT BEND,4
Texas,HARRIS,8
Texas,JACKSON,1
Texas,JEFFERSON,3
Texas,LAVACA,1
Texas,LIBERTY,2
Texas,MATAGORDA,9
Texas,MCLENNAN,1
Texas,RED RIVER,1
Texas,TARRANT,3
Texas,TRAVIS,1
Texas,WALLER,1
Texas,WHARTON,33
Texas,WILLIAMSON,1
Utah,SALT LAKE,2
Virginia,GLOUCESTER,1
Virginia,NORTHUMBERLAND,1
