business_name,business_phone,email_1,email_2,business_website,sub_types,street,city,state,postal_code,facebook,linkedin
AG Opportunities Inc,+1 605-624-5510,,,,"Grain elevator, School",611 W Broadway St,Vermillion,South Dakota,57069,,
Cummings Ag,+1 701-636-4879,dschneider@cummingsag.com,golson@cummingsag.com,https://www.cummingsag.com/,Grain elevator,201 Front St,Cummings,North Dakota,58223,,
Saxman - Central Prairie Co-op,+1 620-257-2614,,,,Grain elevator,2015 Ave R,Sterling,Kansas,67579,,
Viterra,+1 608-965-3040,ryan.eckstein@viterra.com,jay.priefert@viterra.com,https://www.viterra.us/,Grain elevator,6526 Co Rd O,Shullsburg,Wisconsin,53586,https://www.facebook.com/ViterraUS/,
Musgrove Grain,+1 616-374-7027,jeff@musgrovegrain.com,joel@musgrovegrain.com,http://www.musgrovegrain.com/,Grain elevator,13058 S State Rd,Lake Odessa,Michigan,48849,,
ADM Memphis,+1 901-946-2593,,,,Grain elevator,1795 Dock St,Memphis,Tennessee,38113,,
Moore Elevator Inc,+1 325-576-3654,,,,Grain elevator,423 E Lake Dr,Hamlin,Texas,79520,,
Kelley Bean Co Inc,+1 307-532-2131,jbartsch@kelleybean.com,ssnyder@kelleybean.com,https://www.kelleybean.com/,Grain elevator,335 W Valley Rd,Torrington,Wyoming,82240,https://www.facebook.com/156787921027540,https://www.linkedin.com/company/kelleybeanco
Tri-Cities Grain LLC,+1 509-545-0900,d.filan@tcgrain.com,kaci@tcgrain.com,https://www.tcgrain.com/,Grain elevator,600 Tank Farm Rd,Pasco,Washington,99301,,http://www.linkedin.com/company/8928321
"ALCIVIA - Ellsworth Agronomy, Grain, and Energy",+1 715-273-4075,cdl.examiner@alcivia.com,mark.handel@alcivia.com,https://www.alcivia.com/wisconsin-grain-services/?utm_source=Organic&utm_medium=GMB&utm_term=Ellsworth+Grain+Elevator,"Grain elevator, Agricultural cooperative, Fertilizer supplier, Propane supplier",W6311 US-63,Ellsworth,Wisconsin,54011,https://www.facebook.com/ALCIVIACOOP,https://www.linkedin.com/company/alciviacoop
Azteca Milling LP,+1 806-272-6701,horacio.gaitan@gruma.com,hector_parada@gruma.com,https://www.gruma.com/en/our-brands/companies/azteca-milling-lp.aspx,Grain elevator,1972 Co Rd 1068,Muleshoe,Texas,79347,http://www.facebook.com/GrumaGlobal,http://www.linkedin.com/company/34040
"Bartlett Grain Company, L.P.",+1 712-382-2110,kgerstner@bartlettandco.com,k.bond@bartlettandco.com,http://www.bartlettandco.com/,Grain elevator,3126 274th Ave,Hamburg,Iowa,51640,https://www.facebook.com/204731773197317,https://www.linkedin.com/company/bartlettco
Vance Cupp & Sons Inc,+1 870-573-6785,,,,Grain elevator,16871 US-412,Walnut Ridge,Arkansas,72476,,
Viterra,+1 815-745-2900,ryan.eckstein@viterra.com,jay.priefert@viterra.com,http://viterra.us/,Grain elevator,6979 IL-78,Warren,Illinois,61087,https://www.facebook.com/ViterraUS/,
The Andersons,+1 800-332-8236,trayburn@andersonsgrain.com,lhansens@andersonsgrain.com,https://www.andersonsgrain.com/locations/mi/reading/,Grain elevator,313 S Ann St,Reading,Michigan,49274,https://www.facebook.com/159968937368912,
"Absolute Energy, LLC",+1 641-326-2220,greg.goplerud@absenergy.org,rick.schwarck@absenergy.org,http://www.absenergy.org/home.html,Grain elevator,1372 State Line St,St Ansgar,Iowa,50472,https://www.facebook.com/people/Absolute-Energy-LLC/100045481277086/,
Perdue AgriBusiness - Lumberton Grain Elevator,+1 910-738-8581,j.wright@perdueagribusiness.com,t.ferguson@perdueagribusiness.com,http://www.perdueagribusiness.com/,Grain elevator,1801 Godwin Ave,Lumberton,North Carolina,28358,https://www.facebook.com/160327367324124,http://www.linkedin.com/company/8877712
Dwain R Anderson & Sons Inc,+1 402-685-5693,,,,Grain elevator,,Oakland,Nebraska,68045,,
Star of the West Milling Co.,+1 989-872-5847,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,Grain elevator,4075 N Cemetery Rd,Cass City,Michigan,48726,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
Frontier Ag,,rmclemore@frontieraginc.com,dfrederking@frontieraginc.com,https://www.frontieraginc.com/,Grain elevator,300 U.S. Hwy 40,Oakley,Kansas,67748,https://www.facebook.com/FrontierAgInc,http://www.linkedin.com/company/3618828
Frontier Ag,,rmclemore@frontieraginc.com,dfrederking@frontieraginc.com,https://www.frontieraginc.com/,Grain elevator,300 U.S. Hwy 40,Oakley,Kansas,67748,https://www.facebook.com/FrontierAgInc,http://www.linkedin.com/company/3618828
Frontier AG Inc.,+1 785-672-4371,rmclemore@frontieraginc.com,dfrederking@frontieraginc.com,https://www.frontieraginc.com/,Grain elevator,1195 Albert St,Oakley,Kansas,67748,https://www.facebook.com/FrontierAgInc,http://www.linkedin.com/company/3618828
Frontier AG Inc.,+1 785-672-4371,rmclemore@frontieraginc.com,dfrederking@frontieraginc.com,https://www.frontieraginc.com/,Grain elevator,1195 Albert St,Oakley,Kansas,67748,https://www.facebook.com/FrontierAgInc,http://www.linkedin.com/company/3618828
Two Rivers Cooperative,+1 641-949-6411,geest@tworivers.coop,nsteinbach@tworiverscoop.net,https://www.tworivers.coop/,"Grain elevator, Agricultural service, Animal feed store, Fertilizer supplier, Propane supplier",1004 265th St,Tracy,Iowa,50256,https://www.facebook.com/tworiverscoop,https://www.linkedin.com/company/two-rivers-cooperative
Reist Popcorn Transload Facility,,,,http://www.reistlogistics.com/,Grain elevator,900 Square St,Mount Joy,Pennsylvania,17552,,
Co-Op Association,+1 620-872-3758,,,,Grain elevator,206 Wayne St,Scott City,Kansas,67871,,
Welch Grain Co,+1 806-244-4517,twelch@welchgrain.com,mwelch@welchgrain.com,http://www.welchgrain.com/,Grain elevator,115 E 2nd St,Dalhart,Texas,79022,http://facebook.com/welchgrain,http://linkedin.com/company/welch-grain-company
Columbia Grain - Carrington,+1 701-652-2831,mmorgan@columbiagrain.com,jsung@columbiagrain.com,https://www.columbiagrain.com/,Grain elevator,90 70th Ave NE,Carrington,North Dakota,58421,https://www.facebook.com/cgicolumbiagraininternational/,https://www.linkedin.com/company/columbia-grain
Perdue AgriBusiness - Plymouth Grain Office,+1 252-358-8259,j.wright@perdueagribusiness.com,t.ferguson@perdueagribusiness.com,https://www.perdueagribusiness.com/,Grain elevator,77 US-64,Plymouth,North Carolina,27962,https://www.facebook.com/160327367324124,http://www.linkedin.com/company/8877712
Arizona Grain Inc,+1 520-836-8228,ewilkey@arizonagrain.com,kdouglas@arizonagrain.com,http://www.arizonagrain.com/,Grain elevator,38501 Cowtown Rd,Maricopa,Arizona,85138,https://www.facebook.com/155477944488532,http://linkedin.com/company/arizona-grain-inc-
Frenchman Valley Co-Op,+1 308-235-3562,edittler@fvcoop.com,jkler@fvcoop.com,http://www.fvcoop.com/,Grain elevator,3980 W Main St,Kimball,Nebraska,69145,https://www.facebook.com/FrenchmanValleyCoop,https://www.linkedin.com/company/frenchman-valley-coop
Riverland Ag Shakopee River Terminal,+1 952-445-8672,paul@ceresglobalagcorp.com,cfabisch@ceresglobalagcorp.com,http://www.ceresglobalagcorp.com/,Grain elevator,3251 County Rd 101,Shakopee,Minnesota,55379,,http://www.linkedin.com/company/4820055
The Arthur Companies - Rockford,+1 208-785-4460,jholder@arthurcompanies.com,jmelland@arthurcompanies.com,https://arthurcompanies.com/idaho/,Grain elevator,1198 ID-39,Blackfoot,Idaho,83221,https://www.facebook.com/ArthurCompanies,http://www.linkedin.com/company/220697
Star of the West Milling Co.,+1 517-541-1449,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,Grain elevator,421 N Cochran Ave,Charlotte,Michigan,48813,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
Star of the West Milling Co.,+1 517-645-2421,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,"Grain elevator, Agricultural service",415 N Nelson St,Potterville,Michigan,48876,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
Demeter Lp,+1 765-884-9320,,,,Grain elevator,98 S 100 E,Fowler,Indiana,47944,,
Gavilon Grain LLC,+1 618-643-2337,,,,Grain elevator,1 Pillsbury Rd,McLeansboro,Illinois,62859,,
"The DeLong Co., Inc.",+1 315-370-9700,skranig@delongcompany.com,jtaft@delongcompany.com,http://www.delongcompany.com/,Grain elevator,2916 NY-14,Geneva,New York,14456,https://www.facebook.com/delongcompany,http://www.linkedin.com/company/4301399
Dakota Dry Bean Inc,+1 701-398-3112,todd@dakotadrybean.com,,https://dakotaingredients.com/,Grain elevator,215 Main St,Crary,North Dakota,58327,https://www.facebook.com/pages/,https://www.linkedin.com/company/dakota-dry-bean-inc./
Farmers Milling Co,+1 940-549-1484,mbryant@fmcfeeds.com,tblomquist@fmcfeeds.com,https://www.fmcfeeds.com/,"Grain elevator, Store",406 6th St,Graham,Texas,76450,https://www.facebook.com/1410491965871342,http://www.linkedin.com/company/4202458
Farmers Milling Co,+1 940-549-1484,mbryant@fmcfeeds.com,tblomquist@fmcfeeds.com,https://www.fmcfeeds.com/,"Grain elevator, Store",406 6th St,Graham,Texas,76450,https://www.facebook.com/1410491965871342,http://www.linkedin.com/company/4202458
Consolidated Grain and Barge Co.,+1 309-867-3049,info@cgbgrain.com,cgbgrainsupport@cgb.com,https://www.cgbgrain.com/,Grain elevator,441 S N Front St,Oquawka,Illinois,61469,https://www.facebook.com/cgbgrain,https://www.linkedin.com/company/151628
RCM CO-OP,+1 217-626-4204,smith@rcmcoop.com,,http://www.rcmcoop.com/ashland,Grain elevator,220 N Niagara St,Ashland,Illinois,62612,,
AG Processing Inc.,+1 712-653-3985,mcaswell@agp.com,jhills@agp.com,https://www.agp.com/,Grain elevator,1000 300th St,Manning,Iowa,51455,https://www.facebook.com/439967499366884,https://www.linkedin.com/company/ag-processing-inc
Busch Agricultural Resources,+1 218-233-8531,,,http://www.buschagbarley.com/html/index.html,Grain elevator,2101 26th St S,Moorhead,Minnesota,56560,http://facebook.com/anheuserbusch,http://linkedin.com/company/busch-agricultural-resources-inc
Nebraska AG Products Corporation,+1 402-529-6884,,,,Grain elevator,881 US-275,Wisner,Nebraska,68791,,
Wisner Farmers Elevator LLC,+1 402-529-3293,,,http://www.wisnerelevator.com/,Grain elevator,1015 Railroad Ave E,Wisner,Nebraska,68791,,
Canby Farmers Grain Dawson,+1 320-769-2408,cfgrain@cfgrain.com,,http://www.cfgrain.com/,Grain elevator,511 Walnut St,Dawson,Minnesota,56232,,
West Plains LLC,+1 970-674-1154,nathanf@westplainsllc.com,fladc@westplainsllc.com,http://westplainsllc.com/cbloc-462,Grain elevator,8714 CO-60,Johnstown,Colorado,80534,https://www.facebook.com/pages/Commodity-Trading/136801119697310,http://www.linkedin.com/company/6942315
J&R Grain Solutions,+1 660-947-7575,,,,"Grain elevator, Welder",12102 Co Hwy UU,Unionville,Missouri,63565,,
Equity Exchange,+1 806-435-3362,shughes@myequityexchange.com,kseemann@myequityexchange.com,https://www.myequityexchange.com/,Grain elevator,13101 TX-15,Perryton,Texas,79070,https://www.facebook.com/PerrytonEquityExchange/,
Farmers Co-Op Elevator,+1 806-385-6067,,,,Grain elevator,1840 Farm to Market Rd 54,Littlefield,Texas,79339,,
Northern Farmers Co-Op Exchange,+1 218-783-2215,,,,Grain elevator,275 MN-11,Williams,Minnesota,56686,,
ADM Collingwood Grain,+1 620-375-4811,,,,Grain elevator,KS-25,Leoti,Kansas,67861,,
Agwrx Cooperative,+1 605-886-3039,lspringer@agwrxcoop.com,bbisgard@agwrxcoop.com,https://www.agwrxcoop.com/,Grain elevator,811 Burlington Northern Dr,Watertown,South Dakota,57201,https://www.facebook.com/Agwrxcooperative/,
Lucerne Feed & Grain LLC,+1 574-889-2475,,,,Grain elevator,1429 W Frushour St,Lucerne,Indiana,46950,,
21st Century Co-Op,+1 641-743-2161,randyd@21stcoop.com,j.paxton@21stcoop.com,http://www.21stcoop.com/,Grain elevator,601 SW 2nd St,Greenfield,Iowa,50849,https://www.facebook.com/118927608159526,http://www.linkedin.com/company/4470730
United Western Co-Op,+1 712-647-2511,janderson@heartlandcoop.com,jjones@heartlandcoop.com,https://www.heartlandcoop.com/pages/custom.php?id=167,Grain elevator,104 Ely St,Woodbine,Iowa,51579,https://www.facebook.com/HeartlandCoop,http://www.linkedin.com/company/798805
Irsik & Doll Garden City Elevator,+1 620-275-7120,rkenyon@irsikanddoll.com,jbuckley@irsikanddoll.com,http://www.irsikanddoll.com/,Grain elevator,1807 W Kansas Ave,Garden City,Kansas,67846,https://www.facebook.com/irsikanddoll/,http://linkedin.com/company/irsik-&-doll-feed-services-inc.
Kentland Elevator & Supply Inc,+1 219-474-5128,,,,Grain elevator,15920 S 150 W,Kentland,Indiana,47951,,
Heartland Co-Op,+1 515-961-2505,janderson@heartlandcoop.com,jjones@heartlandcoop.com,https://www.heartlandcoop.com/,Grain elevator,505 E Girard Ave,Indianola,Iowa,50125,https://www.facebook.com/HeartlandCoop,http://www.linkedin.com/company/798805
Heartland Co-Op,+1 515-961-2505,janderson@heartlandcoop.com,jjones@heartlandcoop.com,https://www.heartlandcoop.com/,Grain elevator,505 E Girard Ave,Indianola,Iowa,50125,https://www.facebook.com/HeartlandCoop,http://www.linkedin.com/company/798805
River Valley Co-Op,+1 563-285-9615,kpeterson@rivervalleycoop.com,nhughes@rivervalleycoop.com,http://rivervalleycoop.com/,Grain elevator,111 W Davenport St,Eldridge,Iowa,52748,https://www.facebook.com/rivervalleycoop,https://www.linkedin.com/company/river-valley-cooperative
ADM Grand Ledge,+1 517-627-4017,tech-3668700@admfarmview.com.whoisprivacyservice.org,,https://www.admfarmview.com/cash-bids/bids/grandledge,Grain elevator,16994 Wright Rd,Grand Ledge,Michigan,48837,,
Ottawa Feed & Grain,+1 419-523-3843,,,http://www.ottawafeedandgrainco.com/index.cfm,"Grain elevator, Animal feed store",206 S Oak St,Ottawa,Ohio,45875,,
Heritage Cooperative,+1 740-943-2334,cellington@heritagecooperative.com,lbaughman@heritagecooperative.com,https://www.heritagecooperative.com/,Grain elevator,252 N Franklin St,Richwood,Ohio,43344,https://www.facebook.com/heritagecooperative,https://www.linkedin.com/company/1st-choiceenergyservices
Kerens Grain Elevator,+1 903-396-7760,,,,Grain elevator,935 NW 2nd St,Kerens,Texas,75144,,
D P Terminal Inc,+1 701-237-0310,,,,"Grain elevator, Freight Forwarding Agency, Packaging company, Railway services, Storage facility, Warehouse",2715 12th Ave N,Fargo,North Dakota,58102,,
AG Specialists,+1 507-932-4800,,,,Grain elevator,1407 Whitewater Ave,St Charles,Minnesota,55972,,
New Vision Co-Op,+1 507-831-0016,gglasford@newvision.coop,bphillips@newvision.coop,https://newvision.coop/,Grain elevator,125 16th St,Windom,Minnesota,56101,http://facebook.com/newvisioncoop,http://www.linkedin.com/company/2227741
Caledonia Farmers Elevator Co,+1 616-891-8108,sbuche@cfeco.com,dshellenbarger@cfeco.com,http://www.cfeco.com/,"Grain elevator, Agricultural service, Animal feed store, Fence supply store",146 E Main St SE,Caledonia,Michigan,49316,https://www.facebook.com/214540265234726,http://www.linkedin.com/company/6761010
AGrowStar - Sylvania,+1 912-564-7473,,,,Grain elevator,129 Ennis St,Sylvania,Georgia,30467,,
Ray Carroll Carrollton,+1 800-722-4482,davidm@ray-carroll.com,arung@ray-carroll.com,http://www.ray-carroll.com/,Grain elevator,26274 US-24,Carrollton,Missouri,64633,,http://linkedin.com/company/ray-carroll-county-grain-growers-inc.
Heartland Feed Services - St. Henry,+1 419-678-2348,social@heartlandfeedservices.com,,https://heartlandfeedservices.com/,"Grain elevator, Agricultural cooperative, Animal feed store",281 W Main St,St Henry,Ohio,45883,https://www.facebook.com/heartlandfeedservices,https://www.linkedin.com/company/heartland-feed-services
Gateway FS Inc,+1 618-282-4000,jherzog@gatewayfs.com,dschrader@gatewayfs.com,https://www.gatewayfs.com/,Grain elevator,221 E Pine St,Red Bud,Illinois,62278,https://www.facebook.com/GatewayFS.Inc/,http://linkedin.com/company/gateway-fs-inc.
Louis Dreyfus Company GRAND JUNCTION,+1 515-738-2800,bonnie.penner@ldc.com,bobby.casey@ldc.com,https://www.ldc.com/us/en/our-facilities/grand-junction-ia/,"Grain elevator, Agricultural service, Alcohol Manufacturer",1149 U Ave,Grand Junction,Iowa,50107,https://www.facebook.com/563055560399112,https://www.linkedin.com/company/louis-dreyfus-company
Northwest Grain Growers,+1 509-525-6510,cpeha@nwgrgr.com,dgordon@nwgrgr.com,https://www.nwgrgr.com/,Grain elevator,850 N 4th Ave,Walla Walla,Washington,99362,https://www.facebook.com/243358472355161,http://www.linkedin.com/company/8512951
Dakota AG Marketing,+1 605-338-8500,swilde@splinternetmarketing.com,rventura@splinternetmarketing.com,https://splinternetmarketing.com/local-pros/new-jersey/brick/military-veterans-affairs/,Grain elevator,2404 E 6th St,Sioux Falls,South Dakota,57103,https://www.facebook.com/106140462775983,https://www.linkedin.com/company/seo-llc
Star of the West Milling Co.,+1 218-964-3000,ryan.green@starofthewest.com,debbie.lackowski@starofthewest.com,https://www.starofthewest.com/,Grain elevator,415 MN-32,St Hilaire,Minnesota,56754,https://www.facebook.com/Star-of-the-West-Milling-Company-66596276711/,https://www.linkedin.com/company/star-of-the-west-milling-co
ADM Farina,+1 618-245-3333,suzanne.richardson@sharpspring.com,,https://admadvantage.com/contact-us/?location=Farina~Illinois,Grain elevator,500 N Oak St,Farina,Illinois,62838,https://www.facebook.com/ADMFarmerServices/,
Lisbon Elevator,+1 701-683-4161,tbrandt@plainsgrain.com,emacdonald@plainsgrain.com,http://www.plainsgrain.com/,Grain elevator,1227 Main St,Lisbon,North Dakota,58054,,https://www.linkedin.com/company/plains-grain-and-agronomy-llc
England Marketing Services,+1 501-842-3756,swilde@splinternetmarketing.com,rventura@splinternetmarketing.com,https://splinternetmarketing.com/local-pros/georgia/waynesboro-5/mundy-inc-est-1907-grain-elevator-cotton-gin-grain-marketing/,Grain elevator,1435 US-165,England,Arkansas,72046,https://www.facebook.com/106140462775983,https://www.linkedin.com/company/seo-llc
Alsen Farmers Elevator,+1 701-682-5156,,,,Grain elevator,101 ND-66,Alsen,North Dakota,58311,,
Cargill Inc,+1 815-663-1500,angela_taulbee@cargill.com,christian_butler@cargill.com,http://www.cargill.com/,Grain elevator,13853 IL-89,Granville,Illinois,61326,https://www.facebook.com/CargillCares/,https://www.linkedin.com/company/cargill
Geneva Milling Co Inc,+1 402-759-3419,gemco@genevamail.com,mc.gemco@gmail.com,https://genevamill.com/,Grain elevator,210 S 7th St,Geneva,Nebraska,68361,https://www.facebook.com/Geneva-Milling-Co-210748585624939/,http://linkedin.com/company/geneva-milling-co
Apex grain marketing LLC,+1 419-785-1940,alanb@bruglermktg.com,,https://www.apexgrainmarketing.com/,Grain elevator,11859 Krouse Rd,Defiance,Ohio,43512,https://www.facebook.com/apexgrainmarketingllc/,
"Western Grain Marketing, LLC",+1 217-632-7307,trouse@westerngrainmarketing.com,rmiller@westerngrainmarketing.com,http://www.westerngrainmarketing.com/,"Grain elevator, Agricultural service",13955 High St,Petersburg,Illinois,62675,https://www.facebook.com/165466153480477,http://www.linkedin.com/company/4264512
Total Grain Marketing,+1 217-543-2173,,,,Grain elevator,360 N Co Rd 425E,Arthur,Illinois,61911,,
Muennink Grain Merchandising,+1 830-985-3877,holly@muennink.com,rich@muennink.com,https://muennink.com/,Grain elevator,10375 Farm to Market Rd 471,Lacoste,Texas,78039,,
Miller Grain,+1 605-853-2158,,,,Grain elevator,103 S Broadway,Miller,South Dakota,57362,,
Miller Grain & Performance Sd,+1 605-853-2590,,,,Grain elevator,213 E 1st Ave,Miller,South Dakota,57362,,
"Western Grain Marketing, LLC",+1 309-289-2321,trouse@westerngrainmarketing.com,rmiller@westerngrainmarketing.com,http://www.westerngrainmarketing.com/,"Grain elevator, Agricultural service",311 N Hebard St,Knoxville,Illinois,61448,https://www.facebook.com/165466153480477,http://www.linkedin.com/company/4264512
Concordia Terminal LLC,+1 785-243-1797,jbechard@agmarkllc.com,mhafliger@agmarkllc.com,http://www.agmarkllc.com/terminal,Grain elevator,1111 W 4th St,Concordia,Kansas,66901,https://www.facebook.com/AgMarkLLC,
Crossroads Cooperative Association,+1 308-550-8016,rich@crossroadscoop.com,joe@crossroadscoop.com,http://www.crossroadscoop.com/,Grain elevator,1940 22nd Ave,Mitchell,Nebraska,69357,http://www.facebook.com/crossroadscoop,http://www.linkedin.com/company/4551133
"McGeary Organics, Inc.",+1 800-624-3279,,,https://mcgearyorganics.com/,"Grain elevator, Agricultural service, Flour mill",3004 Hempland Rd Ste 4,Lancaster,Pennsylvania,17601,,
Woodall Grain Company,+1 931-968-1070,info@woodallgrain.com,j.woodall@woodallgrain.com,http://www.woodallgrain.com/,Grain elevator,1805 Penile Hill Rd,Decherd,Tennessee,37324,https://www.facebook.com/WoodallGrain,
Coastal Warehouse Ltd,+1 979-532-8550,armour@coastalwarehouse.com,wittig@coastalwarehouse.com,https://coastalwarehouse.com/,Grain elevator,602 N Sunset St,Wharton,Texas,77488,https://www.facebook.com/133920033325763,
Midland Marketing Co-Op Inc,+1 785-222-2553,vance.westhusin@midlandmarketing.org,harvey@midlandmarketing.org,http://www.midlandmarketing.org/,Grain elevator,1505 Oak St,La Crosse,Kansas,67548,https://www.facebook.com/mm1915/,http://www.linkedin.com/company/4455655
Valley Center Farmers Co-Op,+1 316-755-1261,,,,Grain elevator,101 S Ash Ave,Valley Center,Kansas,67147,,
Shepherd Elevator,+1 989-828-5985,daleb@brownmilling.com,markw@brownmilling.com,http://www.brownmilling.com/,Grain elevator,414 W Wright Ave,Shepherd,Michigan,48883,,http://www.linkedin.com/company/6035771
AGP Grain Marketing LLC,+1 806-825-2566,,,,Grain elevator,Oklhm Ln,Farwell,Texas,79325,,
