Company Name,Lat / Long,Street_Address,City,State_Parsed,ZIP_Parsed,Phone_Number,Title,Manager_Name,Email,Capacity,Category,CWTS_Flour_Mills
"Riceland Foods, Inc.",,100 S College St,Stuttgart,AR,72160,(870) 673-5489,District Manager,Nick Kelly,riceland@riceland.com,,Grain,
Agwrx Cooperative,,100 S. Commercial St.,Clark,SD,57225,(605) 532-3111,,,,,Grain,
Agstate,,100 S. Main St.,Aurelia,IA,51005,(712) 434-2297; (800) 432-2297,Location Manager,Robbie Carlson,,"3,170,000 bus up; 990,000 bus fl.",Grain,
Corpus Christi Grain Co.,,100 Talbert Lane,Corpus Christi,TX,78406,(361) 289-0782,Manager,Jake West,jakewest06@gmail.com,"3,831,000 bus up.",Grain,
Landus Cooperative,,100 Walnut St.,Gowrie,IA,50543,(515) 352-3860,Regional Manager,Randy Main,,"3,201,000 bus up; 1,497,000 bus fl.",Grain,
"Ag Processing, Inc.",,"1000 300th St., P.O. Box 187",Manning,IA,51455,(712) 653-3985,Plant merchandising manager,Wayne Johnson,wjohnson@agp.com,,Specialty Mills,
"Perdue Agribusiness Grain, Llc",,1000 Granary Rd,Tappahannock,VA,22560,(804) 443-4391,Manager,Kenneth Beauchamp,kenneth.beauchamp@perdue.com,"2,850,000 bus up",Grain,
Treehouse Foods,,1000 Italian Way,Excelsior Springs,MO,64024,(816) 637-2553,Mill manager,Brandon Cornwell,info@treehousefoods.com,"11,500 cwts.",Specialty Mills,
"Cargill, Incorporated",,1000 Uniontown Rd.,Mount Vernon,IN,47620,(812) 838-4303,,,,"1,812,000 bus up.",Grain,
"Specialty Rice, Inc.",,1000 W. First St.,Brinkley,AR,72021,(870) 734-1233,Office manager,Glenda Hilsdon,info@dellarice.com,500 cwts.,Specialty Mills,
Ingredion,,1001 Bedford Ave.,North Kansas City,MO,64116,(816) 283-3133,Plant manager,Gretchen Miller,customer.service@ingredion.com,,Specialty Mills,
Ingredion,,1001 First St. S.W.,Cedar Rapids,IA,52404,(319) 298-3085,Plant manager,Roxie Simon,customer.service@ingredion.com,,Specialty Mills,
"Perdue Agribusiness Grain, Llc",,1001 Nanticoke Rd.,Seaford,DE,19973,(302) 629-3216,manager,Darrell Oliphant,darrell.oliphant@perdue.com,"1,100,000 bus up.",Grain,
Pride Ag Resources,,1001 Prairie St.,Ford,KS,67842,(620) 369-2212,Branch manager,Tim Maxy,,"828,000 bus up",Grain,
Rcher Daniels Midland Co.,,1001 Wesley Rd.,Creve Coeur,IL,61611,(309) 699-9581,Superintendent,Bret Hawley,,"1,200,000 bus up.",Grain,
"Busch Agricultural Resources, Llc",,1002 Main Ave. W.,West Fargo,ND,58078,(701) 282-5350,,,,"5,007,000 bus up",Grain,
Consolidated Grain & Barge Co.,,1002 N. Main,Albany,IL,61230,(309) 887-4414,GM,Nathan Schmidgall,,"4,946,000 bus up.",Grain,
"Kokomo Grain Co., Inc.",,1002 W. Morgan St.,Kokomo,IN,46901,(765) 457-7536,GM,Tom Madru,tmadru@kokomograin.com,"4,700,000 bus up; 7,200,000 bus fl",Grain,
"Riceland Foods, Inc.",,10032 AR-86,Holly Grove,AR,72069,(870) 462-3391,Manager,Phillip Gahr,riceland@riceland.com,"828,000 bus up.",Grain,
"Bartlett Grain Company, Lp",,1005 S.W. Lower Lake Rd.,St. Joseph,MO,64504,(816) 238-4561; (800) 821-7885,Origination Manager,Trenton Covington,t.covington@bartlettco.com,"3,880,000 bus up.",Grain,
Central Valley Ag,,"1007 County Rd. O, P.O. Box 125",Oakland,NE,68045,(402) 685-5665,Operations manager,Tracy Denton,info@cvacoop.com,"6,000,000 bus up",Grain,
"Premier Cooperative, Inc.",,1008 Cass St.,Mansfield,IL,61854,(217) 489-2251,Regional operations manager,Josh Likeric,,"2,550,000 bus up.",Grain,
"Mfa, Inc.",,1009 Fourth St.,Jefferson City,MO,65101,(573) 635-7183,Manager,Lucas Schulte,mfagrain@mfa-inc.com,"226,000 bus up.",Grain,
Consolidated Grain & Barge Co.,,101 Arkansas St,Helena,AR,72342,(800) 489-2287,Regional Manager,Jason Herr,riceland@riceland.com,"1,882,000 bus up.",Grain,
Landus Cooperative,,101 Audubon St.,Aredale,IA,50605,(641) 894-3435,Regional Manager,Amanda De,,"567,000 bus up.",Grain,
United Cooperative,,101 Clinton St.,Horicon,WI,53032,(920) 485-9707,,,,"4,553,823 bus up",Grain,
Alliance Grain Co.,,101 E. Melvin St.,Melvin,IL,60952,(217) 697-0283,,,,"775,000 bus up.",Grain,
Archer Daniels Midland Co.,,101 N County Road 2 #1/2,Leoti,KS,67861,(620) 375-2574,Manager,Amy Varner,,"520,000 bus up",Grain,
"Cargill, Incorporated",,"101 N. Water St., P.O. Box 65",Lacon,IL,61540,(309) 246-2225,,,,"440,000 bus up.",Grain,
Ardent Mills,,101 Normanskill St.,Albany,NY,12202,(518) 447-1702,Plant Manager,Sean Gager,sean.gager@ardentmills.com,"996,000 bus up.",Grain,
Ardent Mills,,101 Normanskill St.,Albany,NY,12202,(518) 447-1734,Plant manager,Sean Gager,sean.gager@ardentmills.com,"23,500 cwts",Flour mills,
"Premier Cooperative, Inc.",,101 Railroad St.,Royal,IL,61871,(217) 583-3105,Regional operations manager,James Thomas,,"6,500,000 bus up.",Grain,
Pride Ag Resources,,101 S.,Main Beeler,KS,67518,(785) 848-2224,Branch manager,Andy Francisco,afrancisco@prideag.com,"931,000 bus up",Grain,
Archer Daniels Midland Co.,,101 S. Progressive Rd.,Hereford,TX,79045,(806) 364-3811,Manager,Randy Paetzold,,"3,845,000 bus up",Grain,
Ardent Mills,,101 Water St.,Chester,IL,62233,(618) 615-4100,Head miller,Alan Bindel,alan.bindel@ardentmills.com,"1,000,000 bus up.",Grain,
Ardent Mills,,"101 Water St., P.O. Box 369",Chester,IL,62233,(618) 615-4100,Plant manager,Alan Bindel,alan.bindel@ardentmills.com,"10,000 cwts",Flour mills,
"The Andersons, Inc.",,101-267 Edwin Dr.,Toledo,OH,43609,(419) 243-6800,Operations manager,Rick Donald,,"6,732,000 bus up.",Grain,
"Columbia Grain International, Llc",,1010 Hill St.,Grangeville,ID,83530,(208) 983-0540,Manager,Brandon Rehder,pdxmerchants@columbiagrain.com,"2,900,000 bus up.",Grain,
Assumption Co-Op Grain Co.,,1011 Railroad St.,Palmer,IL,62556,(217) 562-3114,,,acoop@acoop.com,"1,156,000 bus up; 1,045,000 bus fl.",Grain,
"Producers Rice Mill, Inc.",,1014 W 2nd St,DeWitt,AR,72042,(870) 946-3541,manager,Brandon Staton,info@producersrice.com,"2,079,000 bus up.",Grain,
"Attebury Grain, Inc. (Enid)",,1015 N.,Van Buren Enid,OK,73702,(806) 335-1639,,,opsassistant@attebury.com,"3,078,000 bus up.",Grain,
Agwrx Cooperative,,102 7th Ave.,Wallace,SD,57272,(605) 758-2391,,,,,Grain,
"Riceland Foods, Inc.",,102 E. Darden,Grubbs,AR,72431,(870) 349-2254,District manager,Rob Wilson,riceland@riceland.com,"2,849,000 bus up.",Grain,
Landus Cooperative,,102 First Ave. N.,Altoona,IA,50009,(515) 967-4215,Regional Manager,Amanda De,,"1,022,000 bus up.",Grain,
Landus Cooperative,,"102 Lincoln St. N.E., P.O. Box 9",Bondurant,IA,50035,(515) 967-4207,Regional Manager,Amanda De,,"4,470,000 bus up; 948,000 bus fl.",Grain,
Landus Cooperative,,102 Maple St.,Buckeye,IA,50006,(515) 855-4141,Regional Manager,Amanda De Jong,,"1,792,000 bus up.",Grain,
Pride Ag Resources,,102 N. Main,Ingalls,KS,67853,(620) 335-5701,Branch manager,Taylor Bleumer,bleumer@prideag.com,"996,000 bus up",Grain,
"Supreme Rice, Llc",,102 S. 13th St.,Mermentau,LA,70556,(337) 824-5558,Chairman; CEO,Bobby Hanks,sales@supremerice.com,,Specialty Mills,
"Viterra Usa Grain, Llc",,1020 Port Authority Rd.,Eddyville,KY,42038,(270) 388-9766,,,,"71,000 bus up",Grain,
Landus Cooperative,,1023 Fifth Ave. S.,Denison,IA,51442,(712) 263-5671,Regional manager,Ethan Taube,,"664,000 bus up",Grain,
Landus Cooperative,,103 E. Sherman St.,Casey,IA,50048,(641) 746-2226,Regional manager,Ethan Taube,,"3,432,000 bus up",Grain,
Deland Farmer’S Coop Grain,,103 Lane St.,Lane,IL,61750,(217) 664-3321,,,,"994,002 bus up.",Grain,
"Columbia Grain International, Llc",,103 N. L Street,Lind,WA,99341,(509) 677-3441,Manager,Lane Hannas,pdxmerchants@columbiagrain.com,"10,000,000 bus up",Grain,
Alliance Grain Co.,,"103 S. Main, P.O. Box 57",Cropsey,IL,61731,(309) 377-2141,Location supervisor,Phillip Bjork,,"2,223,000 bus up.",Grain,
"Michigan Agricultural Commodities, Inc.",,"103 Water St., P.O. Box 547",Newaygo,MI,49337,(231) 652-6017,Facility manager,Mitchell Murray,mmurray@michag.com,"3,300,000 bus up",Grain,
"Bartlett Grain Company, Lp",,1030 Ave. L,Council Bluffs,IA,51503,(712) 322-3444,Origination manager,Grace Clark,g.clark@bartlettco.com,"2,282,000 bus up",Grain,
Consolidated Grain &Barge Co.,,10305 Hwy. 79 S.,Louisiana,MO,63353,(573) 754-6241,generqal manager,Jay Day,,"2,059,000 bus up",Grain,
Hansen-Mueller Co.,,1031 N.,Topping Kansas City,MO,64120,(816) 268-4543,,,,"4,268,000 bus up.",Grain,
The Scoular Company,,10333 N.E. 30th St.,Pratt,KS,67124,(620) 933-2440,Regional manager,T.J. Mandl,information@scoular.com,"5,500,000 bus up",Grain,
Gilster Mary Lee Corp.,,"1037 State St., P.O. Box 227",Chester,IL,62233,(618) 826-2361,Plant superintendent,Jeff Modglin,,,Mix Plants,
Cpi,,"104 Main St., P.O. Box 98",Funk,NE,68940,(308) 263-2441,,,jyoesel@cpicoop.com,"2,529,000 bus up; 2,883,000 bus fl.",Grain,
Aurora Cooperative Elevator Co.,,"104 S. Dakota, P.O. Box 401",Superior,NE,68978,(402) 879-4735,Site Manager,Ross Utecht,matt.wilson@frontiercooperative.com,"1,800,000 bus up",Grain,
The Scoular Company,,104 S. Freeman,Oakley,KS,67748,(785) 671-3171,,,information@scoular.com,"2,119,000 bus up.",Grain,
"Viterra Usa Grain, Llc",,"104 S. Front St., P.O. Box 96",Joice,IA,50446,(641) 588-3131,Manager,Trevor Halstead,,"2,486,300 bus up; 2,801,700 bus fl.",Grain,
Assumption Co-Op Grain Co.,,104 W. North St.,Assumption,IL,62510,(217) 226-3213; (800) 252-6542,Gm; Merchandiser,Randall Sexton,acoop@acoop.com,"2,058,000 bus up; 265,000 bus fl.",Grain,
"Hopkinsville Elevator Co., Inc.",,1040 Skyline Dr,Hopkinsville,KY,42240,(800) 488-2798,Manager,Mark Skipworth,mark@hop-elevator.com,"2,845,000 bus up",Grain,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,"2,880 cwts.",Flour mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,"84,000 cwts",Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,"72,000 cwts.",Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Specialty Mills,
"Honeyville, Inc.",,1040 W. 600 N.,Ogden,UT,84404,(435) 494-4187,"VP, sales",John W. Hadfield,sales@honeyville.com,,Mix Plants,
"Riceland Foods, Inc.",,10442 South St,Dudley,MO,63936,(573) 624-5853,Manager,Dennis Herzog,,"1,632,000 bus up",Grain,
Consolidated Grain & Barge Co.,,1047 S. 15th,Louisville,KY,40210,(812) 283-9500,Regional manager,Jason Selking,,"2,297,000 bus up",Grain,
Archer Daniels Midland Co. (Adm Grain Co.),,"105 E. Harrison, P.O. Box 209",Attica,IN,47918,(765) 762-6763,Manager,Clayton Apple,,"2,021,546 bus up",Grain,
Landus Cooperative,,"105 Fourth Ave. S.W., P.O. Box 47",Dayton,IA,50530,(515) 547-2813,Regional manager,Randy Main,,"825,000 bus up; 936,000 bus fl.",Grain,
Assumption Co-Op Grain Co.,,105 Fourth St.,Westervelt,IL,62565,(217) 738-2321,Facility Manager,Marion Fry,acoop@acoop.com,"1,695,000 bus up; 90,000 bus fl.",Grain,
Landus Cooperative,,"105 Garfield Ave., P.O. Box 35",Farnhamville,IA,50538,(515) 544-3213; (800) 642-6815,Regional Manager,Randy Main,,"7,284,000 bus up",Grain,
Mennel Grain – Nevada,,105 S. Main St.,Nevada,OH,44849,(740) 482-2173,Operations manager,Larry Hawkins,graindivision@mennel.com,"905,000 bus up.",Grain,
La Crosse Milling Co.,,"105 State Hwy. 35, P.O. Box 86",Cochrane,WI,54622,(608) 248-2222,President,Dan Ward,dward@lacrossemilling.com,,Specialty Mills,
La Crosse Milling Co.,,"105 State Hwy. 35, P.O. Box 86",Cochrane,WI,54622,(608) 248-2222,President,Dan Ward,dward@lacrossemilling.com,,Specialty Mills,
"Viterra Usa Grain, Llc",,105 Towles,Henderson,KY,42420,(270) 827-3533,Manager,Tim Bender,,"2,554,000 bus up.",Grain,
"Viterra Usa Grain, Llc",,1050 Kerper Blvd.,Dubuque,IA,52001,,Manager,Mitch Montag,,"697,000 bus up",Grain,
"Michigan Agricultural Commodities, Inc.",,"1050 Ogden St., P.O. Box 218",Jasper,MI,49248,(517) 436-3126,Facility Manager,Rick Cramer,jstrahan@michag.com,"850,000 bus up; 325,000 bus fl.",Grain,
Archer Daniels Midland Co.,,10520 Wolcott Dr.,Kansas City,KS,66109,(913) 788-7226,Manager,Mark Burnett,,"2,526,000 bus up",Grain,
"Cargill, Incorporated",,106 E. Depot St.,Litchfield,MN,55355,(320) 693-6040,,,,"475,000 bus up.",Grain,
Consolidated Grain & Barge Co.,,106 Hwy. 131 S.,Vidalia,LA,71373,(318) 336-5235,general manager,Chad Chambers,,"2,085,000 bus up.",Grain,
"Riceland Foods, Inc.",,106 Jones Island Rd,Griffithville,AR,72060,(501) 323-4347,manager,Caleb Smith,riceland@riceland.com,"1,078,000 bus up.",Grain,
Heartland Co-Op,,106 Main St.,Boonville,IA,50038,(515) 996-2295; (800) 244-8579,manager,Jason Eisenga,info@heartlandcoop.com,"2,217,000 bus up.",Grain,
Pride Ag Resources,,106 N.,Broadway Hanston,KS,67489,(620) 623-2115,Branch manager,Gary Seiler,,"1,549,000 bus up",Grain,
Poinsett Rice & Grain,,106 Walden Landing,Helena,AR,72342,(870) 338-8469,,,,,Grain,
"Viterra Usa Grain, Llc",,1061 Red Rock Rd. St.,Paul,MN,55119,(612) 344-5500,Manager,Gary Griffith,infobsm@bsm.com,"273,000 bus up.",Grain,
"Producer Ag, Llc",,1063 W. 10th Ave.,Milan,KS,67105,,,,,"3,000,000 bus up; 4,500,000 bus fl.",Grain,
"Cargill, Incorporated",,"1065 28th Rd., P.O. Box 341",Minden,NE,68959,(308) 832-1230,,,,"3,163,000 bus up.",Grain,
"New Cooperative, Inc.",,"107 Fifth St. N.W., Box 156",Britt,IA,50423,(641) 843-3878,Location Manager,Logan Weiland,,,Grain,
Landus Cooperative,,"107 Front St., P.O. Box 10",Dike,IA,50624,(319) 989-2416,Regional Manager,Amanda De,,"1,216,000 bus up.",Grain,
"Cargill, Incorporated",,107 S. Hickory Rte. 1,Langdon,KS,67583,(620) 596-2202,,,,"156,000 bus up",Grain,
Heartland Co-Op,,107 Second St.,Malcom,IA,50157,(641) 528-2535,Manager,Jay Foster,info@heartlandcoop.com,"3,359,000 bus up; 615,000 bus fl.",Grain,
"Brill, Inc.",,10741 Miller Rd.,Dallas,TX,75238,(214) 343-4816,,,info@brillinc.com,,Mix Plants,
Wheat Montana Mill & Bakery,,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,(406) 582-4572; (800) 535-2798,President,Laura Carden,info@wheatmontana.com,,Flour mills,
Wheat Montana Mill & Bakery,,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,(406) 582-4572,President,Laura Carden,info@wheatmontana.com,,Specialty Mills,
Wheat Montana Mill & Bakery,,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,(406) 582-4572,President; COO; CFO,Laura Carden,info@wheatmontana.com,,Specialty Mills,
Wheat Montana Mill & Bakery,,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,(406) 582-4572,President; COO; CFO,Laura Carden,info@wheatmontana.com,,Mix Plants,
Consolidated Grain & Barge Co.,,1079 N. Second St.,Memphis,TN,38109,(901) 525-0055,Regional manager,Murray Schwieger,,"1,874,000 bus up",Grain,
Alliance Grain Co.,,"108 N. Main St., P.O. Box 8",Roberts,IL,60962,(217) 395-2292,Supervisor,Mike Schall,,"1,675,000 bus up.",Grain,
Archer Daniels Midland Co.,,108 Railroad St.,Patoka,IL,62875,(618) 432-7194,Manager,Justin Engel,,"1,559,000 bus up; 1,112,000 bus fl",Grain,
Stafford County Flour Mills Co.,,108 S. Church St.,Hudson,KS,67545,(620) 458-4121,President,Reuel Foote,,"4,000 cwts",Flour mills,
Stafford County Flour Mills Co.,,108 S. Church St.,Hudson,KS,67545,(620) 458-4121,President,Reuel Foote,,,Mix Plants,
Northern Country Coop,,"108 S. Everett St., P.O. Box 120",LeRoy,MN,55951,(507) 324-5242; (800) 847-4499,,,counter@ncountrycoop.com,"1,698,000 bus up.",Grain,
Pride Ag Resources,,10884 102 Rd.,Howell,KS,67801,(620) 227-2683,Branch manager,Austin Goering,agoering@prideag.com,"1,704,000 bus up",Grain,
"Michigan Agricultural Commodities, Inc.",,"10895 E. U.S. 223, P.O. Box 96",Blissfield,MI,49228,(517) 486-2172; (800) 344-7246,Facility Manager,Noel Eisenmann,,"3,890,000 bus up; 1,300,000 bus fl.",Grain,
"Riceland Foods, Inc.",,109 Cross St #819,Earle,AR,72331,(870) 755-5482,manager,Brent Mitchell,riceland@riceland.com,"3,104,000 bus up.",Grain,
Archer Daniels Midland Co.,,109 N. Chestnut St.,Farina,IL,62838,(618) 245-3333,Manager,Darrell Schaal,,"4,577,517 bus up; 6,500,000 bus fl.",Grain,
Agtegra Cooperative,,"109 Railroad Ave., P.O. Box 640",McLaughlin,SD,57642,(605) 823-4441,Location manager,Craig Maher,,"4,700,000 bus up",Grain,
Farmers Cooperative,,1090 S. Court St.,Florence,AL,35630,(256) 308-1680,,,info@woodallgrain.com,"3,267,000 bus up.",Grain,
Landus Cooperative,,1095 T Ave.,Boone,IA,50036,(515) 432-4563,regional manager,Ethan Taube,,"6,563,000 bus up; 3,088,000 bus fl.",Grain,
Mars Foods Usa,,1098 N. Broadway St.,Greenville,MS,38702,(662) 335-8000,,,denise.young@effem.com,,Specialty Mills,
"Columbia Grain International, Llc",,10990 Arlen Lee Dr.,Oakes,ND,58474,(701) 742-2982,Manager,Sergio Hernandez,pdxmerchants@columbiagrain.com,"6,271,000 bus up.",Grain,
Prairie Flour Mills Ltd.,,"11 Janzen Rd., P.O. Box 301",Elie,MB,R0H 0H0,(204) 353-2895,President,Clayton Manness,gm@prairieflour.com,"8,000 cwts",Flour mills,
Prairie Flour Mills Ltd.,,"11 Janzen Rd., P.O. Box 301",Elie,MB,R0H 0H0,(204) 353-2895,President,Clayton Manness,gm@prairieflour.com,,Specialty Mills,
Mennel Milling & Bakery Mix,,11 N. Brady Ave.,Newton,NC,28658,(828) 464-1611,Plant manager,Bradley Saine,newton@mennel.ocm,"8,500 cwts",Flour mills,
Mennel Milling & Bakery Mix,,11 N. Brady Ave.,Newton,NC,28658,(828) 464-1611,Plant manager,Bradley Saine,newton@mennel.ocm,"12,000 bus.",Specialty Mills,
Mennel Milling & Bakery Mix,,11 N. Brady Ave.,Newton,NC,28658,(828) 464-1611,Plant manager,Bradley Saine,newton@mennel.ocm,,Mix Plants,
Alliance Grain Co.,,"11 S. Main, P.O. Box 208",Herscher,IL,60941,(815) 426-2231,Supervisor,Andy Cotter,,"1,773,000 bus up.",Grain,
"Greenfield Holdings, Llc",,11 State Hwy. 609,Delhi,LA,71232,(318) 878-5002,,,,"1,600,000 bus up.",Grain,
Landus Cooperative,,"110 Audubon St., P.O. Box 67",Adair,IA,50002,(641) 742-3295,regional manager,Ethan Taube,,"6,318,000 bus up; 944,000 bus fl.",Grain,
Adm Milling Co.,,110 E. 12th St.,Mendota,IL,61342,(815) 539-3040,Commercial manager,Nick Builta,milling@adm.com,,Grain,
Archer Daniels Midland Co.,,110 E. 12th St.,Mendota,IL,61342,(815) 539-7491,Manager,Jeff Mauck,,"4,200,000 bus up; 1,800,000 bus fl",Grain,
Adm Milling Co.,,110 E. 12th St.,Mendota,IL,61342,(815) 539-3040,Operations manager,Brian Berger,milling@adm.com,"30,000 cwts",Flour mills,
Archer Daniels Midland Co.,,110 Locust St.,Paducah,KY,42001,(270) 443-2100,Manager,Walter Curry,,"225,000 bus up",Grain,
